,North Carolina,FGCU,USC,Providence,Indiana,Chattanooga,Kentucky,Stony Brook,Notre Dame,Michigan,West Virginia,S.F. Austin,Wisconsin,Pittsburgh,Xavier,Weber State,Virginia,Hampton,Texas Tech,Butler,Purdue,Little Rock,Iowa State,Iona,Seton Hall,Gonzaga,Utah,Fresno State,Dayton,Syracuse,Michigan State,Middle Tenn.,CSU Bakersfield,Oklahoma,VCU,Oregon State,Green Bay,Texas A&M,Northern Iowa,Texas,UNC Wilmington,Duke,Yale,Baylor,Cincinnati,Saint Joseph's,Holy Cross,Oregon,UNC Asheville,Villanova,Temple,Iowa,Buffalo,Miami,Wichita State,Arizona,Hawaii,California,S. Dakota St.,Maryland,Connecticut,Colorado,Austin Peay,Kansas
,#98BFE5,#009569,#AE2531,#000000,#3182bd,#EEB311,#003399,#B33A4E,#BAA008,#272341,#FFC600,#393996,#A00000,#003263,#002144,#29086B,#00204E,#0067AC,#C80025,#0D1361,#B89D29,#AD0000,#840A2C,#910126,#0857B1,#2D2161,#CD1041,#00427A,#E70808,#F37321,#1C453A,#0079C2,#005DAB,#BA0034,#7D7D7A,#AE3800,#006F51,#5C0025,#473282,#EE7524,#006561,#004C7D,#004A81,#008649,#FD0026,#C2071B,#29086B,#044520,#156199,#123d7C,#A80532,#FFD700,#0068B4,#003E24,#F8D429,#BB003A,#004231,#003768,#005DAB,#D5002B,#0A1D5A,#D9C994,#8E0B0B,#006AB5
,1,16,8,9,5,12,4,13,6,11,3,14,7,10,2,15,1,16,8,9,5,12,4,13,6,11,3,14,7,10,2,15,15,2,10,7,14,3,11,6,13,4,12,5,9,8,16,1,15,2,10,7,14,3,11,6,13,4,12,5,9,8,16,1
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0.9831,0.0168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.349,0.651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.8424,0.1576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.897,0.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.5623,0.4377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.8721,0.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
