Marques Colston,72
Jimmy Graham,51
Lance Moore,38
Robert Meachem,25
Antonio Gates,23
Devery Henderson,17
Darren Sproles,16
Brandin Cooks,16
Pierre Thomas,12
Reggie Bush,12
Eric Parker,10
Ben Watson,10
Keenan McCardell,9
Josh Hill,9
Kenny Stills,8
Reche Caldwell,7
David Thomas,7
Jeremy Shockey,6
LaDainian Tomlinson,6
Terrance Copper,5
Curtis Conway,5
Willie Snead,5
Jed Collins,4
Joe Horn,4
David Patten,4
Travaris Cadet,4
David Boston,3
Heath Evans,3
Brandon Coleman,3
Fred McCrary,3
Joe Morgan,3
Kassim Osgood,3
Billy Miller,3
Michael Hoomanawanui,3
Michael Thomas,3
Tim Dwight,3
Justin Peelle,3
Josh Norman,2
Eric Johnson,2
Mark Campbell,2
Mark Ingram,2
Coby Fleener,2
C.J. Spiller,2
Mike Karney,2
John Kuhn,1
Austin Johnson,1
Aaron Stecker,1
Stephen Alexander,1
John Gilmore,1
Lorenzo Neal,1
Nick Toon,1
Ernie Conwell,1
Deuce McAllister,1
Erik Lorig,1
Darnell Dinkins,1
Jamal Jones,1
Freddie Jones,1
