Rob Gronkowski,66
Randy Moss,39
Wes Welker,34
Deion Branch,24
Julian Edelman,21
Aaron Hernandez,18
Daniel Graham,17
Ben Watson,17
David Patten,16
Troy Brown,15
Christian Fauria,13
David Givens,12
Kevin Faulk,10
Mike Vrabel,8
James White,7
Shane Vereen,7
Brandon LaFell,7
Danny Amendola,6
Tim Wright,6
Jabar Gaffney,6
Scott Chandler,4
Aaron Dobson,4
Danny Woodhead,4
Reche Caldwell,4
Brandon Lloyd,4
Bethel Johnson,4
Donte' Stallworth,4
Kenbrell Thompkins,4
Antowain Smith,3
Chad Jackson,3
Martellus Bennett,3
Doug Gabriel,3
Jermaine Wiggins,3
Corey Dillon,2
Marc Edwards,2
Alge Crumpler,2
Sam Aiken,2
Donald Hayes,2
Brandon Tate,2
Dion Lewis,2
Tim Dwight,2
Kyle Brady,2
Keshawn Martin,2
Brandon Bolden,2
Chris Baker,2
Charles Johnson,1
Terry Glenn,1
Laurence Maroney,1
Heath Evans,1
Andre' Davis,1
Matthew Mulligan,1
Larry Centers,1
Dedric Ward,1
Cam Cleeland,1
Brian Tyms,1
Patrick Pass,1
Michael Hoomanawanui,1
LeGarrette Blount,1
Chad Johnson,1
Tom Ashworth,1
David Thomas,1
