Antonio Gates,79
Vincent Jackson,37
Malcom Floyd,34
Eddie Royal,16
Keenan Allen,15
Danny Woodhead,13
Darren Sproles,11
Chris Chambers,10
Danario Alexander,7
LaDainian Tomlinson,7
Ladarius Green,7
Mike Tolbert,5
Brandon Manumaleuna,5
Dontrelle Inman,4
Seyi Ajirotutu,3
Vincent Brown,3
Hunter Henry,3
Jacob Hester,3
Legedu Naanee,3
Tyrell Williams,3
Steve Johnson,3
Dante Rosario,3
John Phillips,2
Melvin Gordon,2
Craig Davis,2
Travis Benjamin,2
Randy McMichael,2
Patrick Crayton,2
Robert Meachem,2
Lorenzo Neal,1
Ryan Mathews,1
Kris Wilson,1
Jackie Battle,1
Kelley Washington,1
Branden Oliver,1
