Roddy White,52
Julio Jones,38
Tony Gonzalez,35
Jason Snelling,9
Harry Douglas,8
Devonta Freeman,5
Michael Jenkins,5
Levine Toilolo,5
Jacquizz Rodgers,5
Justin Peelle,5
Brian Finneran,4
Ovie Mughelli,4
Eric Weems,4
Jacob Tamme,4
Antone Smith,3
Michael Palmer,3
Patrick DiMarco,3
Drew Davis,3
Leonard Hankerson,3
Nick Williams,2
Mohamed Sanu,2
Devin Hester,2
Jerious Norwood,2
Justin Hardy,2
Aldrick Robinson,1
Tony Moeaki,1
Austin Hooper,1
Tevin Coleman,1
Mike Johnson,1
Bear Pascoe,1
Darius Johnson,1
Marty Booker,1
Michael Turner,1
Steven Jackson,1
