Calvin Johnson,56
Brandon Pettigrew,15
Golden Tate,11
Theo Riddick,10
Titus Young,9
Joseph Fauria,8
Eric Ebron,7
Nate Burleson,7
Tony Scheffler,7
Kevin Smith,5
Marvin Jones,4
Anquan Boldin,4
Will Heller,4
Kris Durham,3
Lance Moore,3
Reggie Bush,3
Ryan Broyles,2
Tim Wright,2
Bryant Johnson,2
Jeremy Ross,2
Ameer Abdullah,2
Maurice Morris,1
Jed Collins,1
Mike Thomas,1
T.J. Jones,1
Kevin Ogletree,1
Michael Burton,1
Brian Robiskie,1
Aaron Brown,1
Jahvid Best,1
Andre Roberts,1
Corey Fuller,1
Joique Bell,1
